created_at,Product,Cost,Home,Bill_Item,Bills,Payoff,Entertainment,Ciger,Groceries,Mortgage,Petrol,Food,Driving,Toll,Total_Expenses
13/12/2014,nill,0,0,nill,0,0,0,0,0,0,0,0,0,0,0
14/12/2014,Kmart,0,58,nill,0,0,0,0,133.79,0,0,0,0,0,191.79
15/12/2014,nill,0,0,nill,0,0,0,0,0,791,0,24,0,6.29,821.29
16/12/2014,nill,0,0,nill,0,0,0,0,0,0,0,0,0,0,0
17/12/2014,nill,0,0,Telstra,23.95,0,0,0,0,0,0,24,0,6.29,54.24
18/12/2014,nill,0,0,nill,0,500,48,0,0,0,0,24,0,12.58,584.58
19/12/2014,nill,0,0,nill,0,0,22,0,0,0,78,24,0,6.29,130.29
20/12/2014,Movie,0,0,nill,0,0,45,0,0,0,0,0,0,0,45
21/12/2014,swiming,26,0,nill,0,0,0,0,45.67,0,0,0,0,0,71.67
22/12/2014,Ikea,0,406,nill,0,40,0,0,0,791,0,24,0,6.29,1267.29
23/12/2014,Bunnings,0,71,nill,0,0,0,0,0,0,0,24,0,6.29,101.29
24/12/2014,LG watch,343,0,nill,0,0,0,0,0,0,0,17,0,6.29,366.29
25/12/2014,me countryRoad,99,0,internet,99,0,0,0,0,0,0,0,0,0,198
26/12/2014,lia shopping,200,0,nill,0,0,116,30,0,0,0,0,0,0,346
27/12/2014,Kmart,0,145,nill,0,0,174,0,161,0,0,0,0,0,480
28/12/2014,nill,0,0,nill,0,0,0,0,182.32,0,0,0,0,0,182.32
29/12/2014,Target,0,48,Lawn,35,0,0,0,56,791,0,0,0,0,930
30/12/2014,fireworks,174,0,viber,6,0,194,0,0,0,0,0,0,0,374
31/12/2014,fireworks travel,60,0,nill,0,0,0,0,0,0,73.8,0,0,0,133.8
01/01/2015,nill,0,0,nill,0,0,33.2,0,0,0,0,0,0,0,33.2
02/01/2015,nill,0,0,Health Insu,51.5,0,0,0,0,0,0,0,0,0,51.5
03/01/2015,lia sunglass,200,0,nill,0,0,0,0,0,0,15,0,0,0,215
04/01/2015,lia prada,2590,0,nill,0,0,0,0,0,0,15,0,0,0,2605
05/01/2015,BD medicine,140,0,nill,0,0,0,0,31.57,791,0,20,0,6.34,988.91
06/01/2015,Anniversary flower,113,0,nill,0,0,0,0,0,0,0,15,0,6.34,134.34
07/01/2015,toolznAppz,9.99,0,Optus,119.99,0,0,0,0,0,0,20,0,6.34,156.32
08/01/2015,telescope lense,87,0,nill,0,0,0,0,0,0,0,24,0,6.34,117.34
09/01/2015,me shopping,59.61,9,nill,0,0,0,0,0,0,0,24,0,6.34,98.95
10/01/2015,nill,0,20,nill,0,0,47,0,0,0,0,0,0,0,67
11/01/2015,nill,0,18,nill,0,0,0,0,0,0,77.68,0,0,0,95.68
12/01/2015,Bunnings,0,114,nill,0,0,25,0,0,791,0,24,0,6.34,960.34
13/01/2015,nill,0,0,nill,0,0,0,0,0,0,0,24,0,6.34,30.34
14/01/2015,nill,0,0,nill,0,0,24.5,0,0,0,0,24,0,6.34,54.84
15/01/2015,me Shoe,139,0,nill,0,0,46,0,0,0,0,24,0,12.68,221.68
16/01/2015,lia vSec,22,0,nill,0,0,0,0,0,0,0,24,0,6.39,52.39
17/01/2015,nill,0,0,nill,0,0,55,0,0,0,0,0,0,0,55
18/01/2015,lia,75,0,nill,0,0,0,0,245.67,0,0,0,0,0,320.67
19/01/2015,nill,0,0,nill,0,0,0,0,0,791,0,24,0,6.39,821.39
20/01/2015,lia,25,100,nill,0,199,0,0,0,0,0,24,0,6.39,354.39
21/01/2015,nill,0,0,nill,0,223.96,0,0,0,0,0,24,0,6.39,254.35
22/01/2015,lia dress,50,22,Elect Bill,380.51,40,0,21,0,0,70,24,0,6.39,613.9
23/01/2015,nill,0,0,Gas Bill,196.22,0,0,0,0,0,0,24,0,6.39,226.61
24/01/2015,nelson bay tour,0,0,Home INSU,76.43,0,420,0,0,0,0,0,0,0,496.43
25/01/2015,nill,0,0,Internet,99,0,0,0,0,0,0,0,0,0,99
26/01/2015,nill,0,0,nill,0,0,0,0,0,791,0,0,0,0,791
27/01/2015,lia,10,10,nill,0,0,0,0,0,0,0,24,0,13,57
28/01/2015,lia,30,0,nill,0,0,0,0,0,0,0,24,0,6.34,60.34
29/01/2015,chromecast,49,0,nill,0,0,36,0,0,0,0,24,0,12.68,121.68
30/01/2015,Car service,0,0,nill,0,0,57.7,0,0,0,0,0,315,0,372.7
31/01/2015,hair cut,29,44,Lawn mow,50,0,10,0,0,0,0,0,0,0,133
01/02/2015,nill,0,0,nill,0,0,0,0,128.26,792,0,0,0,0,920.26
02/02/2015,nill,0,0,Health INSU,51,0,0,0,0,0,0,24,0,6.34,81.34
03/02/2015,Europe Tkt,4959,0,nill,0,0,0,0,0,0,0,24,0,6.34,4989.34
04/02/2015,marisa gift,44.95,0,Optus,120.48,0,15,0,0,0,0,24,0,6.34,210.77
05/02/2015,me shorts,20,0,nill,0,0,49,0,0,0,0,24,0,12.68,105.68
06/02/2015,nill,0,0,nill,0,0,0,0,0,0,0,24,0,6.34,30.34
07/02/2015,nill,0,0,nill,0,0,0,0,0,0,84,0,0,0,84
08/02/2015,nill,0,0,nill,0,0,0,0,0,0,0,0,0,0,0
09/02/2015,nill,0,0,nill,0,0,0,0,0,792,0,28,0,6.34,826.34
10/02/2015,brisbane car park,79,0,Food,45,0,0,0,0,0,0,28,0,6.34,158.34
11/02/2015,Brisbane,638,0,nill,0,0,0,0,0,0,0,28,0,12.68,678.68
12/02/2015,lia shoping,50,0,nill,0,0,0,0,0,0,0,28,0,6.34,84.34
13/02/2015,me campers,320,0,nill,0,0,0,0,28.5,0,0,28,0,6.34,382.84
14/02/2015,Lia chanel,700,0,nill,0,0,70,0,0,0,0,0,0,0,770
15/02/2015,city,0,0,nill,0,0,0,0,10,0,0,0,0,15.45,25.45
16/02/2015,neurofen,20,0,nill,0,0,0,0,6,792,0,28,0,12.68,858.68
17/02/2015,nill,0,0,Foxtel,50,0,0,0,0,0,78.96,24,0,6.34,159.3
18/02/2015,nill,0,0,Telstra,23.95,0,0,0,0,0,0,24,0,6.34,54.29
19/02/2015,Bris gift,150,0,nill,0,0,0,0,0,0,0,24,0,12.68,186.68
20/02/2015,nill,0,0,nill,0,0,0,0,0,0,0,0,0,25,25
21/02/2015,nill,0,0,nill,0,0,0,0,0,0,0,0,0,0,0
22/02/2015,nill,0,0,Home Insu,76,0,0,0,0,0,0,30,0,0,106
23/02/2015,Bihu Gift,60,0,Food,30,0,0,20,0,792,0,24,0,6.34,932.34
24/02/2015,Brussels Air,613.2,0,Lawn,30,0,0,0,0,0,40,14,0,6.34,703.54
25/02/2015,Swiss,302.9,0,Internet,99,0,0,60,0,0,0,17,0,6.34,485.24
26/02/2015,KLM,416.54,0,Council,371,0,15,0,0,0,40,17,0,12.68,872.22
27/02/2015,British Air,565,0,STAN,10,0,0,0,0,0,0,24,0,6.34,605.34
28/02/2015,Euro Star,234.41,0,nill,0,0,0,0,0,0,78,0,0,0,312.41
01/03/2015,nill,0,0,nill,0,0,0,0,0,0,0,0,0,0,0
02/03/2015,nill,0,0,Health Insu,52,0,25,0,0,792,0,24,0,6.36,899.36
03/03/2015,me medicine,53,0,Food,50,0,0,0,38.63,0,0,24,0,6.36,171.99
04/03/2015,Lia shoppoing,50,0,nill,0,0,0,0,0,0,0,18,0,6.36,74.36
05/03/2015,nill,0,0,nill,0,0,0,0,0,0,0,24,0,12.68,36.68
06/03/2015,Lia Dress,80,0,nill,0,0,0,0,0,0,0,24,0,6.36,110.36
07/03/2015,DEI DRAGOMANNI Venice,608.84,0,nill,0,0,0,0,0,0,0,0,0,0,608.84
08/03/2015,lia eye,10,0,Optus,120,0,0,0,53,0,0,0,0,0,183
09/03/2015,Rome hotel,43,116.41,nill,0,0,0,0,0,792,0,0,0,0,1951.41
10/03/2015,crowne Plaza Amsterdam,489.27,0,nill,0,0,0,0,0,0,0,24,0,6.36,519.63
11/03/2015,nill,0,0,Water Bill,330.95,0,0,0,0,0,93.53,24,0,6.36,454.84
12/03/2015,nill,0,0,nill,0,0,32,0,0,0,0,24,0,6.36,62.36
13/03/2015,nill,0,0,nill,0,0,0,0,0,0,0,14,0,12.68,26.68
14/03/2015,nill,0,140,nill,0,0,0,0,80,0,0,0,0,0,220
15/03/2015,nill,0,0,nill,0,0,0,0,0,0,0,0,0,0,0
16/03/2015,nill,0,0,Foxtel,50,0,0,0,0,792,0,24,0,6.36,872.36
17/03/2015,nill,0,0,nill,0,0,0,0,0,0,0,24,0,6.36,30.36
18/03/2015,nill,0,0,nill,0,0,0,0,0,0,0,24,0,6.36,30.36
19/03/2015,nill,0,0,Lawn,30,0,0,0,163,0,0,24,0,6.36,223.36
20/03/2015,nill,0,0,nill,0,0,250,25,0,0,0,34,0,12.68,321.68
21/03/2015,nill,0,0,nill,0,0,0,0,0,0,0,0,0,0,0
22/03/2015,nill,0,0,nill,0,0,0,0,0,0,0,0,0,0,0
23/03/2015,nill,0,0,Home Insu,76,0,0,0,0,792,0,24,0,12.68,904.68
24/03/2015,Lia Hair,35,0,nill,0,0,0,0,0,0,0,26,0,6.36,67.36
25/03/2015,Lia dress,60,0,Internet,99,0,25,0,0,0,92,26,0,6.36,308.36
26/03/2015,med,18,0,Stan,10,0,0,0,0,0,0,26,0,6.36,60.36
27/03/2015,Lia med,30,0,nill,0,0,22,42,27,0,0,26,0,6.36,153.36
28/03/2015,me haircut,24,0,nill,0,0,30,0,0,0,0,0,0,0,54
29/03/2015,turtle,0,39,nill,0,0,53.8,0,0,0,0,0,0,0,92.8
30/03/2015,MOEVENPICK HOTEL,510,0,nill,0,0,14.2,0,0,792,0,26,0,6.36,1348.56
31/03/2015,MELIA VENDOME,870,0,FOOD,60,0,0,0,0,0,0,26,0,6.36,962.36
01/04/2015,nill,0,0,Health INSU,56.69,0,0,0,0,0,90.82,26,21,6.36,200.87
02/04/2015,nill,0,0,nill,0,0,60,0,0,0,0,26,0,6.36,92.36
03/04/2015,nill,0,0,nill,0,0,0,0,0,0,0,0,0,0,0
04/04/2015,nill,0,0,nill,0,0,0,0,0,0,0,0,0,0,0
05/04/2015,nill,0,0,nill,0,0,0,0,0,0,0,0,0,0,0
06/04/2015,nill,0,0,nill,0,0,31,0,160,791,0,0,0,0,982
07/04/2015,nill,0,0,Optus,120,0,34,0,0,0,0,26,0,6.81,186.81
08/04/2015,lia,50,0,nill,0,0,0,0,0,0,0,26,0,6.81,82.81
09/04/2015,me shirt,120,0,nill,0,0,0,0,0,0,0,26,0,6.81,152.81
10/04/2015,Hotel Taj,1205.49,0,nill,0,0,0,10,0,0,0,26,0,6.81,1248.3
11/04/2015,nill,0,37,nill,0,0,51,25,30,0,0,0,0,0,143
12/04/2015,Kmart,0,109,nill,0,0,0,0,0,0,0,0,0,0,109
13/04/2015,nill,0,0,viber,6.71,0,0,0,0,791,0,26,0,6.81,830.52
14/04/2015,nill,0,0,nill,0,0,0,0,0,0,82,26,0,6.81,114.81
